Neighborhood|Venue|Venue Latitude|Venue Longitude|Venue Category|Category Number
Northridge - Census Tract 115202|Chipotle Mexican Grill|34.23747060221053|-118.53649385798923|Mexican Restaurant|1
Winnetka - Census Tract 113401|Brent's Deli|34.228923|-118.5604874|Deli / Bodega|24
Valley Glen - Census Tract 123303|Carl's Jr.|34.20161514978915|-118.40918848043339|Fast Food Restaurant|2
Valley Glen - Census Tract 123303|Jack in the Box|34.2009099|-118.4140804|Fast Food Restaurant|2
Valley Glen - Census Tract 123800|King Kabob|34.17920196359144|-118.40502090889797|Mediterranean Restaurant|28
North Hollywood - Census Tract 124103|Roma Deli|34.188167845397956|-118.38803749899941|Deli / Bodega|24
Valley Glen - Census Tract 124400|El Pollo Loco|34.172448|-118.404923|Fast Food Restaurant|2
North Hollywood - Census Tract 124102|Miss Peaches|34.17344793146581|-118.37997533276156|Southern / Soul Food Restaurant|41
Valley Glen - Census Tract 123303|Yoshinoya|34.20100395618786|-118.41313718085622|Japanese Restaurant|15
Northridge - Census Tract 115202|California Chicken Cafe|34.23598114713072|-118.53523983583321|American Restaurant|14
North Hollywood - Census Tract 123901|Sizzler|34.18609899460733|-118.39678173500657|American Restaurant|14
Northridge - Census Tract 115201|Bounce Boba Loft|34.243707601555215|-118.53658093625268|Bubble Tea Shop|29
Valley Glen - Census Tract 123800|Skaf's Grill|34.17982428782031|-118.39618946991173|Middle Eastern Restaurant|18
Northridge - Census Tract 115201|Alessio|34.24677988328276|-118.5368265999287|Italian Restaurant|20
North Hollywood - Census Tract 124104|McDonald's|34.18508432863052|-118.38716849684715|Fast Food Restaurant|2
Valley Glen - Census Tract 123700|Burger King|34.1871044|-118.4135303|Fast Food Restaurant|2
Valley Glen - Census Tract 123602|Barone's|34.179177203185034|-118.4319994315079|Pizza Place|3
Panorama City - Census Tract 120010|Dr. Hogly Wogly's Tyler Texas BBQ|34.21900293414792|-118.46655890356583|BBQ Joint|30
Valley Glen - Census Tract 123700|Starbucks|34.18646378929188|-118.41358543006639|Coffee Shop|6
Valley Village - Census Tract 124000|Joe Peep's Pizza|34.164589494905336|-118.40492029205365|Pizza Place|3
Valley Glen - Census Tract 123800|"Thai Gourmet | Order Food Online"|34.17923016727795|-118.40478589519815|Thai Restaurant|5
North Hollywood - Census Tract 124103|Leonor's Vegetarian Mexican Restaurant|34.18697913283798|-118.37932740225098|Mexican Restaurant|1
North Hills - Census Tract 117408|Starbucks|34.220835|-118.470691|Coffee Shop|6
Winnetka - Census Tract 113401|Buenos Aires Grill|34.231596898979255|-118.561184295177|Argentinian Restaurant|51
Panorama City - Census Tract 120030|Starbucks|34.21458520913015|-118.44847551044504|Coffee Shop|6
Northridge - Census Tract 117302|Gayle's Perks|34.234554010575124|-118.50083319141974|Coffee Shop|6
Valley Glen - Census Tract 124400|Ameci Pizza & Pasta|34.17187703333333|-118.404947|Italian Restaurant|20
Valley Glen - Census Tract 123410|Krua Thai|34.20103424551475|-118.41919290446216|Thai Restaurant|5
Northridge - Census Tract 117302|Weiler's Original Northridge Delicatessen|34.235263313401184|-118.50084388486758|Deli / Bodega|24
Northridge - Census Tract 115202|Lum-ka-naad|34.23225179430995|-118.53585428427613|Thai Restaurant|5
North Hollywood - Census Tract 124102|In-N-Out Burger|34.17723774045001|-118.38185750963218|Burger Joint|7
North Hollywood - Census Tract 124105|El Taco Loco|34.179033|-118.38278710842133|Mexican Restaurant|1
Northridge - Census Tract 115202|Panda Express|34.235737835024075|-118.53480860264183|Chinese Restaurant|10
North Hollywood - Census Tract 124201|Mis Burritos|34.18700612523853|-118.37071966208374|Mexican Restaurant|1
Northridge - Census Tract 115202|Chili's Grill & Bar|34.23747690445445|-118.5356924763622|Tex-Mex Restaurant|58
Winnetka - Census Tract 113401|Bob's Big Boy|34.2317143686308|-118.56210301562585|Burger Joint|7
North Hills - Census Tract 117405|Del Taco|34.23525139786142|-118.46681978762518|Fast Food Restaurant|2
North Hills - Census Tract 117530|Panda Express|34.221763467183536|-118.46573400964598|Chinese Restaurant|10
North Hills - Census Tract 117405|Starbucks|34.23475073069245|-118.46716218882088|Coffee Shop|6
Northridge - Census Tract 115201|Starbucks|34.24169568407749|-118.53589491893256|Coffee Shop|6
Northridge - Census Tract 115201|King's Burgers/Got Sushi?|34.24038785160375|-118.53630692296571|Burger Joint|7
North Hollywood - Census Tract 124204|Denny's|34.17236856355336|-118.37871953845024|Diner|21
Panorama City - Census Tract 119700|In-N-Out Burger|34.221911169390886|-118.43063965307775|Burger Joint|7
Panorama City - Census Tract 120030|In-N-Out Burger|34.21507665332696|-118.44834551387123|Burger Joint|7
North Hollywood - Census Tract 124103|Philadelphia Steak & Hoagie|34.187422394730994|-118.3880144038243|American Restaurant|14
Panorama City - Census Tract 120030|El Taco Llama - Van Nuys|34.218176001985064|-118.44935037819981|Mexican Restaurant|1
Northridge - Census Tract 115403|SUBWAY|34.227803349494934|-118.53551745414734|Sandwich Place|4
Valley Glen - Census Tract 123303|Don Paquito|34.20083899233147|-118.40996459035563|Peruvian Restaurant|44
Northridge - Census Tract 115302|McDonald's|34.22863698776666|-118.5545218232005|Fast Food Restaurant|2
Northridge - Census Tract 117302|SUBWAY|34.23443449033395|-118.50215943632735|Sandwich Place|4
Northridge - Census Tract 115201|My Hero Subs|34.24293044140614|-118.53532185738307|Sandwich Place|4
Panorama City - Census Tract 120103|Rincon Taurino|34.22780724109636|-118.4499037513036|Mexican Restaurant|1
Northridge - Census Tract 115202|Pita Pockets|34.236392765149326|-118.53765584246986|Middle Eastern Restaurant|18
Valley Glen - Census Tract 123700|Zahle|34.186520129167754|-118.41451038646021|Middle Eastern Restaurant|18
Valley Glen - Census Tract 123304|Starbucks|34.20099882|-118.4059496|Coffee Shop|6
Panorama City - Census Tract 120400|Sakura Sushi Bar|34.22069475515252|-118.43325452698964|Sushi Restaurant|12
Winnetka - Census Tract 113401|Frozen Crush|34.228451330591355|-118.55701978664868|Food Truck|8
Northridge - Census Tract 115403|India Sweets and Spices|34.22784998629864|-118.52828122527042|Indian Restaurant|39
Valley Glen - Census Tract 123303|bua siam|34.200768216056964|-118.41493592880076|Thai Restaurant|5
North Hills - Census Tract 117201|Taqueria Los Tres Hermanos|34.24297019341103|-118.46686117142745|Mexican Restaurant|1
Northridge - Census Tract 117302|Jamba Juice|34.234581|-118.501966|Juice Bar|33
North Hollywood - Census Tract 123206|Swingin Door Texas Bbq|34.193759579987606|-118.37083468979982|BBQ Joint|30
Valley Glen - Census Tract 123700|Shoga Sushi|34.18703957942831|-118.40584545214585|Sushi Restaurant|12
North Hollywood - Census Tract 124201|Sushi Park|34.187210958038484|-118.37046620023844|Sushi Restaurant|12
Sun Valley - Census Tract 121101|Carnitas Michoacan|34.228228425325135|-118.36641706986399|Mexican Restaurant|1
Northridge - Census Tract 117302|El Pollo Loco|34.235405|-118.501683|Fast Food Restaurant|2
Northridge - Census Tract 115202|Maria's Italian Kitchen|34.23673911531156|-118.53686779220945|Italian Restaurant|20
Sun Valley - Census Tract 121802|Taco Bell|34.221128697543705|-118.39609489582976|Fast Food Restaurant|2
North Hills - Census Tract 117201|Carl's Jr.|34.243160787396754|-118.46809047001739|Fast Food Restaurant|2
Panorama City - Census Tract 120400|Yoshinoya|34.2212434601665|-118.4330353728263|Japanese Restaurant|15
Valley Glen - Census Tract 123700|Numero Uno Pizza|34.18739854327021|-118.41327640780614|Pizza Place|3
Panorama City - Census Tract 120104|IHOP|34.2262953052435|-118.45041996541939|Breakfast Spot|42
North Hollywood - Census Tract 123204|Del Taco|34.1926029896456|-118.39628675947772|Fast Food Restaurant|2
Northridge - Census Tract 115202|Wienerschnitzel|34.23519215448829|-118.53432337796333|Hot Dog Joint|37
North Hollywood - Census Tract 123204|SUBWAY|34.192515030341205|-118.39610478224374|Sandwich Place|4
North Hollywood - Census Tract 124204|Los Burritos|34.17196173847177|-118.37863689173197|Mexican Restaurant|1
Northridge - Census Tract 115403|Original Thai BBQ Restaurant|34.22759644304268|-118.5357903827466|Thai Restaurant|5
Panorama City - Census Tract 119310|Sabor A Mexico|34.24285649760748|-118.45105041253979|Mexican Restaurant|1
Valley Village - Census Tract 124000|Marv's Deli|34.16466722692802|-118.40578028801218|Deli / Bodega|24
